"paper_id","doi","title","year","venue","scis_rank","f1_provisional","preprint_paper"
"doi:10.3390/electronics13091644","10.3390/electronics13091644","AI-Driven Refactoring: A Pipeline for Identifying and Correcting Data Clumps in Git Repositories","2024","Electronics Switzerland","Not found","Evaluation Research","published"
"doi:10.3390/app14104115","10.3390/app14104115","The Impact of Large Language Models on Programming Education and Student Learning Outcomes","2024","Applied Sciences Switzerland","Not found","Evaluation Research","published"
"doi:10.3390/systems12050176","10.3390/systems12050176","Exploring the Key Factors Influencing College Students’ Willingness to Use AI Coding Assistant Tools: An Expanded Technology Acceptance Model","2024","Systems","Not found","Evaluation Research","published"
"doi:10.1145/3644815.3644945","10.1145/3644815.3644945","Seven failure points when engineering a retrieval augmented generation system","2024","Proceedings 2024 IEEE ACM 3rd International Conference on AI Engineering Software Engineering for AI Cain 2024","Not found","Evaluation Research","published"
"doi:10.1145/3644815.3644948","10.1145/3644815.3644948","LLMS for test input generation for semantic applications","2024","Proceedings 2024 IEEE ACM 3rd International Conference on AI Engineering Software Engineering for AI Cain 2024","Not found","Evaluation Research","published"
"doi:10.1145/3644815.3644949","10.1145/3644815.3644949","Developer experiences with a contextualized ai coding assistant: Usability, expectations, and outcomes","2024","Proceedings 2024 IEEE ACM 3rd International Conference on AI Engineering Software Engineering for AI Cain 2024","Not found","Evaluation Research","published"
"doi:10.1145/3644815.3644950","10.1145/3644815.3644950","(why) is my prompt getting worse? Rethinking regression testing for evolving llm apis","2024","Proceedings 2024 IEEE ACM 3rd International Conference on AI Engineering Software Engineering for AI Cain 2024","Not found","Evaluation Research","published"
"doi:10.1109/tse.2024.3364675","10.1109/TSE.2024.3364675","Automatic Commit Message Generation: A Critical Review and Directions for Future Work","2024","IEEE Transactions on Software Engineering","A*","Evaluation Research","published"
"doi:10.1515/humaff-2023-0134","10.1515/humaff-2023-0134","Towards the Use of Social Robot Furhat and Generative AI in Testing Cognitive Abilities","2024","Human Affairs","Not found","Evaluation Research","published"
"doi:10.1145/3640543.3645142","10.1145/3640543.3645142","iScore: Visual Analytics for Interpreting How Language Models Automatically Score Summaries","2024","ACM International Conference Proceeding Series","Not found","Evaluation Research","published"
"doi:10.1145/3610977.3634969","10.1145/3610977.3634969","Alchemist: LLM-Aided End-User Development of Robot Applications","2024","ACM IEEE International Conference on Human Robot Interaction","A","Evaluation Research","published"
"doi:10.1145/3626252.3630909","10.1145/3626252.3630909","Prompt Problems: A New Programming Exercise for the Generative AI Era","2024","SIGCSE 2024 Proceedings of the 55th ACM Technical Symposium on Computer Science Education","Not found","Evaluation Research","published"
"doi:10.1145/3626252.3630854","10.1145/3626252.3630854","Exploring the Impact of Generative AI for StandUp Report Recommendations in Software Capstone Project Development","2024","SIGCSE 2024 Proceedings of the 55th ACM Technical Symposium on Computer Science Education","Not found","Evaluation Research","published"
"doi:10.1145/3626252.3630880","10.1145/3626252.3630880","Instructor Perceptions of AI Code Generation Tools - A Multi-Institutional Interview Study","2024","SIGCSE 2024 Proceedings of the 55th ACM Technical Symposium on Computer Science Education","Not found","Evaluation Research","published"
"doi:10.3390/math12050629","10.3390/math12050629","Computer Science Education in ChatGPT Era: Experiences from an Experiment in a Programming Course for Novice Programmers","2024","Mathematics","Not found","Evaluation Research","published"
"doi:10.1145/3641399.3641403","10.1145/3641399.3641403","Accelerating Software Development Using Generative AI: ChatGPT Case Study","2024","Proceedings of the 17th Innovations in Software Engineering Conference","Not found","Evaluation Research","published"
"doi:10.3390/app14031046","10.3390/app14031046","An Empirical Study of the Code Generation of Safety-Critical Software Using LLMs","2024","Applied Sciences Switzerland","Not found","Evaluation Research","published"
"doi:10.1145/3636243.3636252","10.1145/3636243.3636252","Evaluating LLM-generated Worked Examples in an Introductory Programming Course","2024","ACM International Conference Proceeding Series","Not found","Evaluation Research","published"
"doi:10.1109/ms.2024.3385309","10.1109/MS.2024.3385309","Generative AI in the Software Modeling Classroom: An Experience Report With ChatGPT and Unified Modeling Language","2024","IEEE Software","B","Evaluation Research","published"
"doi:10.14569/ijacsa.2024.0150168","10.14569/IJACSA.2024.0150168","Practical Application of AI and Large Language Models in Software Engineering Education","2024","International Journal of Advanced Computer Science and Applications","Not found","Evaluation Research","published"
"doi:10.1109/iciibms62405.2024.10792720","10.1109/ICIIBMS62405.2024.10792720","Leveraging Pre-Trained Large Language Models (LLMs) for On-Premises Comprehensive Automated Test Case Generation: An Empirical Study","2024","International Conference on Intelligent Informatics and Biomedical Sciences Iciibms","Not found","Evaluation Research","published"
"doi:10.1109/icsme58944.2024.00045","10.1109/ICSME58944.2024.00045","Investigating Developers' Preferences for Learning and Issue Resolution Resources in the ChatGPT Era","2024","Proceedings 2024 IEEE International Conference on Software Maintenance and Evolution Icsme 2024","Not found","Evaluation Research","published"
"doi:10.1109/vl/hcc60511.2024.00023","10.1109/VL/HCC60511.2024.00023","In Situ AI Prototyping: Infusing Multimodal Prompts into Mobile Settings with MobileMaker","2024","Proceedings of IEEE Symposium on Visual Languages and Human Centric Computing Vl Hcc","Not found","Evaluation Research","published"
"doi:10.1109/icei64305.2024.10912343","10.1109/ICEI64305.2024.10912343","LLMs as Debate Partners: Utilizing Genetic Algorithms and Adversarial Search for Adaptive Arguments","2024","2024 IEEE Conference on Engineering Informatics Icei 2024","Not found","Evaluation Research","published"
"doi:10.1109/spw63631.2024.00014","10.1109/SPW63631.2024.00014","Just another copy and paste? Comparing the security vulnerabilities of ChatGPT generated code and StackOverflow answers","2024","Proceedings 45th IEEE Symposium on Security and Privacy Workshops Spw 2024","Not found","Evaluation Research","published"
"doi:10.1109/seaa64295.2024.00027","10.1109/SEAA64295.2024.00027","AGORA: An Approach for Generating Acceptance Test Cases from Use Cases","2024","Proceedings of the Euromicro Conference on Software Engineering and Advanced Applications Euromicro Seaa","Not found","Evaluation Research","published"
"doi:10.1109/spaccs63173.2024.00012","10.1109/SpaCCS63173.2024.00012","Leveraging ChatGPT for GDPR Compliance in Requirements Engineering: A Pilot Study","2024","Proceedings 2024 IEEE International Conference on Security Privacy Anonymity in Computation and Communication and Storage Spaccs 2024","Not found","Evaluation Research","published"
"doi:10.2196/55399","10.2196/55399","The Impact of Performance Expectancy, Workload, Risk, and Satisfaction on Trust in ChatGPT: Cross-Sectional Survey Analysis","2024","Jmir Human Factors","Not found","Evaluation Research","published"
"doi:10.1109/tale62452.2024.10834346","10.1109/TALE62452.2024.10834346","ChatGPT Calls for Self Reflection: Student Perceptions of Evaluation Activities in Video","2024","2024 IEEE International Conference on Teaching Assessment and Learning for Engineering Tale 2024 Proceedings","Not found","Evaluation Research","published"
"doi:10.1109/fie61694.2024.10893046","10.1109/FIE61694.2024.10893046","Integrating Conversational Large Language Models into Student Learning: A Case Study of ChatGPT in Software Engineering Education","2024","Proceedings Frontiers in Education Conference Fie","Not found","Evaluation Research","published"
"doi:10.1109/qrs62785.2024.00028","10.1109/QRS62785.2024.00028","Exploring Large Language Models for Method Name Prediction","2024","IEEE International Conference on Software Quality Reliability and Security Qrs","Not found","Evaluation Research","published"
"doi:10.1109/chiuxid64022.2024.10860622","10.1109/CHIuXiD64022.2024.10860622","Improving Programmer Work Quality with ChatGPT Assistance","2024","Proceedings of 2024 10th International Hci and Ux Conference in Indonesia Chiuxid 2024","Not found","Evaluation Research","published"
"doi:10.5220/0012631600003687","10.5220/0012631600003687","ChatGPT as a Software Development Bot: A Project-Based Study","2024","International Conference on Evaluation of Novel Approaches to Software Engineering Enase Proceedings","Not found","Evaluation Research","published"
"doi:10.1109/conisoft63288.2024.00048","10.1109/CONISOFT63288.2024.00048","Exploring LLM Tools Through the Eyes of Industry Experts and Novice Programmers","2024","Proceedings 2024 12th International Conference in Software Engineering Research and Innovation Conisoft 2024","Not found","Evaluation Research","published"
"doi:10.1109/telfor63250.2024.10819096","10.1109/TELFOR63250.2024.10819096","Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage","2024","2024 32nd Telecommunications Forum Telfor 2024 Proceedings of Papers","Not found","Evaluation Research","published"
"doi:10.1109/tse.2024.3428972","10.1109/TSE.2024.3428972","LLM-Based Test-Driven Interactive Code Generation: User Study and Empirical Evaluation","2024","IEEE Transactions on Software Engineering","A*","Evaluation Research","published"
"doi:10.1109/compsac61105.2024.00252","10.1109/COMPSAC61105.2024.00252","Students' Perspectives on AI Code Completion: Benefits and Challenges","2024","Proceedings 2024 IEEE 48th Annual Computers Software and Applications Conference Compsac 2024","Not found","Evaluation Research","published"
"doi:10.3389/fcomp.2024.1473870","10.3389/fcomp.2024.1473870","Java coding using artificial intelligence","2024","Frontiers in Computer Science","Not found","Evaluation Research","published"
"doi:10.1109/smc54092.2024.10831787","10.1109/SMC54092.2024.10831787","Generative AI Impact on the Future of Work: Insights from Software Development","2024","Conference Proceedings IEEE International Conference on Systems Man and Cybernetics","Not found","Evaluation Research","published"
"doi:10.1109/etfa61755.2024.10711043","10.1109/ETFA61755.2024.10711043","Leveraging the Power of LLMs to Transform Robot Programs into Low-Code","2024","IEEE International Conference on Emerging Technologies and Factory Automation ETFA","Not found","Evaluation Research","published"
"doi:10.1109/cseet62301.2024.10663027","10.1109/CSEET62301.2024.10663027","ChatGPT's Aptitude in Utilizing UML Diagrams for Software Engineering Exercise Generation","2024","Software Engineering Education Conference Proceedings","Not found","Evaluation Research","published"
"doi:10.28945/5362","10.28945/5362","CODING WITH AI AS AN ASSISTANT: CAN AI GENERATE CONCISE COMPUTER CODE?","2024","Journal of Information Technology Education Innovations in Practice","Not found","Evaluation Research","published"
"doi:10.1109/ic3ina64086.2024.10732708","10.1109/IC3INA64086.2024.10732708","Development of a Mental Health Chatbot Using Large Language Models for Indonesian Undergraduates","2024","International Conference on Computer Control Informatics and Its Applications Ic3ina","Not found","Evaluation Research","published"
"doi:10.1109/acit62805.2024.10876897","10.1109/ACIT62805.2024.10876897","Investigates the Impact of AI-generated Code Tools on Software Readability Code Quality Factor","2024","2024 25th International Arab Conference on Information Technology Acit 2024","Not found","Evaluation Research","published"
"doi:10.54364/aaiml.2024.44171","10.54364/AAIML.2024.44171","Enhancing Commit Message Categorization in Open-Source Repositories Using Structured Taxonomy and Large Language Models","2024","Advances in Artificial Intelligence and Machine Learning","Not found","Evaluation Research","published"
"doi:10.1109/cog60054.2024.10645540","10.1109/CoG60054.2024.10645540","Leveraging Large Language Models for Efficient Failure Analysis in Game Development","2024","IEEE Conference on Computatonal Intelligence and Games Cig","Not found","Evaluation Research","published"
"doi:10.1109/ieem62345.2024.10857157","10.1109/IEEM62345.2024.10857157","Leveraging AI in Software Testing: Applying ADKAR for Effective Change Management","2024","IEEE International Conference on Industrial Engineering and Engineering Management","Not found","Evaluation Research","published"
"doi:10.2118/222046-ms","10.2118/222046-MS","Innovating Oil and Gas Field Operations - Harnessing the Power of Generative Ai for Supporting Workforce Towards Achieving Autonomous Operations","2024","Society of Petroleum Engineers Adipec 2024","Not found","Evaluation Research","published"
"doi:10.1109/vl/hcc60511.2024.00014","10.1109/VL/HCC60511.2024.00014","Harnessing the Power of LLMs: LLM Summarization for Human-Centric DAST Reports","2024","Proceedings of IEEE Symposium on Visual Languages and Human Centric Computing Vl Hcc","Not found","Evaluation Research","published"
"doi:10.1109/is61756.2024.10705184","10.1109/IS61756.2024.10705184","From Data to Documentation: Exploring the Use of ChatGPT's Custom Instructions for Report Generation","2024","International IEEE Conference Proceedings is","Not found","Evaluation Research","published"
"doi:10.1109/ms.2024.3357787","10.1109/MS.2024.3357787","The Fine Balance between Helping with Your Job and Taking It: AI Code Assistants Come to the Fore","2024","IEEE Software","B","Evaluation Research","published"
"doi:10.1109/sera61261.2024.10685568","10.1109/SERA61261.2024.10685568","Context Matters: Investigating Its Impact on ChatGPT's Bug Fixing Performance","2024","2024 IEEE Acis 22nd International Conference on Software Engineering Research Management and Applications SERA 2024 Proceedings","Not found","Evaluation Research","published"
"doi:10.1109/iri62200.2024.00035","10.1109/IRI62200.2024.00035","Tracing Feature Tests to Textual Requirements","2024","Proceedings 2024 IEEE International Conference on Information Reuse and Integration for Data Science Iri 2024","Not found","Evaluation Research","published"
"doi:10.1109/educon60312.2024.10578746","10.1109/EDUCON60312.2024.10578746","Developing Critical Thinking Practices Interwoven with Generative AI Usage in an Introductory Programming Course","2024","IEEE Global Engineering Education Conference Educon","Not found","Evaluation Research","published"
"doi:10.1109/apsec65559.2024.00052","10.1109/APSEC65559.2024.00052","Leveraging Generative AI for Accelerating Enterprise Application Development: Insights from ChatGPT","2024","Proceedings Asia Pacific Software Engineering Conference APSEC","B","Evaluation Research","published"
"doi:10.1109/incit63192.2024.10810490","10.1109/InCIT63192.2024.10810490","Comparing the Effectiveness of Generative AI for Learning and Developing Flutter Application","2024","8th International Conference on Information Technology 2024 Incit 2024","Not found","Evaluation Research","published"
"doi:10.1109/fie61694.2024.10893165","10.1109/FIE61694.2024.10893165","A Systematic Evaluation of Code-generating Chatbots for Use in Undergraduate Computer Science Education","2024","Proceedings Frontiers in Education Conference Fie","Not found","Evaluation Research","published"
"doi:10.1109/tse.2024.3406718","10.1109/TSE.2024.3406718","Evaluating SZZ Implementations: An Empirical Study on the Linux Kernel","2024","IEEE Transactions on Software Engineering","A*","Evaluation Research","published"
"doi:10.1109/access.2024.3486365","10.1109/ACCESS.2024.3486365","Assessing GitHub Copilot in Solidity Development: Capabilities, Testing, and Bug Fixing","2024","IEEE Access","A","Evaluation Research","published"
"doi:10.1109/icmtim62047.2024.10629560","10.1109/ICMTIM62047.2024.10629560","Java Web Programming with ChatGPT","2024","2024 5th International Conference on Mechatronics Technology and Intelligent Manufacturing Icmtim 2024","Not found","Evaluation Research","published"
"doi:10.1109/ainit61980.2024.10581784","10.1109/AINIT61980.2024.10581784","Challenges and Opportunities in Integrating LLMs into Continuous Integration/Continuous Deployment (CI/CD) Pipelines","2024","2024 5th International Seminar on Artificial Intelligence Networking and Information Technology Ainit 2024","Not found","Evaluation Research","published"
"doi:10.1109/saner60148.2024.00018","10.1109/SANER60148.2024.00018","Guiding ChatGPT for Better Code Generation: An Empirical Study","2024","Proceedings 2024 IEEE International Conference on Software Analysis Evolution and Reengineering Saner 2024","Not found","Evaluation Research","published"
"doi:10.1109/sparc61891.2024.10829223","10.1109/SPARC61891.2024.10829223","AI-Powered Code Reviews: Leveraging Large Language Models","2024","IEEE International Conference on Signal Processing and Advance Research in Computing Sparc 2024","Not found","Evaluation Research","published"
"doi:10.1109/cseet62301.2024.10662984","10.1109/CSEET62301.2024.10662984","Automated Programming Exercise Generation in the Era of Large Language Models","2024","Software Engineering Education Conference Proceedings","Not found","Evaluation Research","published"
"doi:10.1080/10447318.2023.2269006","10.1080/10447318.2023.2269006","ChatGPT in the Classroom. Exploring Its Potential and Limitations in a Functional Programming Course","2024","International Journal of Human Computer Interaction","A","Evaluation Research","published"
"doi:10.1109/tse.2024.3492204","10.1109/TSE.2024.3492204","Fight Fire With Fire: How Much Can We Trust ChatGPT on Source Code-Related Tasks?","2024","IEEE Transactions on Software Engineering","A*","Evaluation Research","published"
"doi:10.1109/sp54263.2024.00046","10.1109/SP54263.2024.00046","Poisoned ChatGPT Finds Work for Idle Hands: Exploring Developers' Coding Practices with Insecure Suggestions from Poisoned AI Models","2024","Proceedings IEEE Symposium on Security and Privacy","Not found","Evaluation Research","published"
"doi:10.1109/cseet62301.2024.10662994","10.1109/CSEET62301.2024.10662994","Using Generative AI to Create User Stories in the Software Engineering Classroom","2024","Software Engineering Education Conference Proceedings","Not found","Evaluation Research","published"
"doi:10.1109/fie61694.2024.10893343","10.1109/FIE61694.2024.10893343","Enhancing User Story Generation in Agile Software Development Through Open AI and Prompt Engineering","2024","Proceedings Frontiers in Education Conference Fie","Not found","Evaluation Research","published"
"doi:10.1109/cseet62301.2024.10663055","10.1109/CSEET62301.2024.10663055","Leveraging Open Source LLMs for Software Engineering Education and Training","2024","Software Engineering Education Conference Proceedings","Not found","Evaluation Research","published"
"doi:10.1109/rita.2024.3458848","10.1109/RITA.2024.3458848","The Use of ChatGPT in Improving and Reviewing Scientific Paper Writing: An Exploratory Study","2024","Revista Iberoamericana De Tecnologias Del Aprendizaje","Not found","Evaluation Research","published"
"doi:10.1109/educon60312.2024.10578808","10.1109/EDUCON60312.2024.10578808","Using ChatGPT in Software Development Education","2024","IEEE Global Engineering Education Conference Educon","Not found","Evaluation Research","published"
"doi:10.1109/access.2024.3449252","10.1109/ACCESS.2024.3449252","VSEST 29110 Tool: Using ChatGPT to Evaluate the Implementation of the ISO/IEC 29110 Work Products","2024","IEEE Access","A","Evaluation Research","published"
"doi:10.1109/scam63643.2024.00031","10.1109/SCAM63643.2024.00031","GitRev: An LLM-Based Gamification Framework for Modern Code Review Activities","2024","Proceedings 2024 IEEE International Conference on Source Code Analysis and Manipulation Scam 2024","Not found","Evaluation Research","published"
"doi:10.1109/informatics62280.2024.10900922","10.1109/Informatics62280.2024.10900922","A Personalized Education Chatbot for the Novice Programmers in Action","2024","2024 IEEE 17th International Scientific Conference on Informatics Informatics 2024 Proceedings","Not found","Evaluation Research","published"
"doi:10.1109/compsac61105.2024.00156","10.1109/COMPSAC61105.2024.00156","Characterizing Developers' Behaviors in LLM -Supported Software Development","2024","Proceedings 2024 IEEE 48th Annual Computers Software and Applications Conference Compsac 2024","Not found","Evaluation Research","published"
"doi:10.1109/cseet62301.2024.10663035","10.1109/CSEET62301.2024.10663035","University Students' Perception and Expectations of Generative AI Tools for Software Engineering","2024","Software Engineering Education Conference Proceedings","Not found","Evaluation Research","published"
"doi:10.1109/tlt.2024.3486749","10.1109/TLT.2024.3486749","Comparing the Effects of Instructor Manual Feedback and ChatGPT Intelligent Feedback on Collaborative Programming in China's Higher Education","2024","IEEE Transactions on Learning Technologies","A","Evaluation Research","published"
"doi:10.1109/icsa-c63560.2024.00059","10.1109/ICSA-C63560.2024.00059","State of Practice: LLMs in Software Engineering and Software Architecture","2024","Proceedings IEEE 21st International Conference on Software Architecture Companion Icsa C 2024","Not found","Evaluation Research","published"
"doi:10.1109/vl/hcc60511.2024.00020","10.1109/VL/HCC60511.2024.00020","Cocobo: Exploring Large Language Models as the Engine for End-User Robot Programming","2024","Proceedings of IEEE Symposium on Visual Languages and Human Centric Computing Vl Hcc","Not found","Evaluation Research","published"
"doi:10.1109/cseet62301.2024.10663042","10.1109/CSEET62301.2024.10663042","Using Generative Artificial Intelligence Tools in Software Engineering Courses","2024","Software Engineering Education Conference Proceedings","Not found","Evaluation Research","published"
"doi:10.1109/tlt.2024.3396735","10.1109/TLT.2024.3396735","Toward an AI Knowledge Assistant for Context-Aware Learning Experiences in Software Capstone Project Development","2024","IEEE Transactions on Learning Technologies","A","Evaluation Research","published"
"doi:10.1109/aitest62860.2024.00022","10.1109/AITest62860.2024.00022","User Centric Evaluation of Code Generation Tools (Invited Paper)","2024","Proceedings 6th IEEE International Conference on Artificial Intelligence Testing Aitest 2024","Not found","Evaluation Research","published"
"doi:10.1109/vl/hcc60511.2024.00015","10.1109/VL/HCC60511.2024.00015","Developer Behaviors in Validating and Repairing LLM-Generated Code Using IDE and Eye Tracking","2024","Proceedings of IEEE Symposium on Visual Languages and Human Centric Computing Vl Hcc","Not found","Evaluation Research","published"
"doi:10.1109/saner-c62648.2024.00018","10.1109/SANER-C62648.2024.00018","A Comparison of the Effectiveness of ChatGPT and Co-Pilot for Generating Quality Python Code Solutions","2024","Proceedings 2024 IEEE International Conference on Software Analysis Evolution and Reengineering Companion Saner C 2024","Not found","Evaluation Research","published"
"doi:10.5220/0012729400003693","10.5220/0012729400003693","Examining the Utilization of Artificial Intelligence Tools by Students in Software Engineering Projects","2024","International Conference on Computer Supported Education Csedu Proceedings","Not found","Evaluation Research","published"
"doi:10.1109/fllm63129.2024.10852455","10.1109/FLLM63129.2024.10852455","A Systematic Study on the Potentials and Limitations of LLM-assisted Software Development","2024","2024 2nd International Conference on Foundation and Large Language Models Fllm 2024","Not found","Evaluation Research","published"
"doi:10.1109/dasa63652.2024.10836262","10.1109/DASA63652.2024.10836262","Enhancing Software Engineering with AI: Key Insights from ChatGPT","2024","2024 International Conference on Decision Aid Sciences and Applications Dasa 2024","Not found","Evaluation Research","published"
"doi:10.1109/cvpr52733.2024.01416","10.1109/CVPR52733.2024.01416","Driving Everywhere with Large Language Model Policy Adaptation","2024","Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition","Not found","Evaluation Research","published"
"doi:10.1109/fie61694.2024.10892816","10.1109/FIE61694.2024.10892816","Exploring the Potential of Locally Run Large Language (AI) Models for Automated Grading in Introductory Computer Science Courses","2024","Proceedings Frontiers in Education Conference Fie","Not found","Evaluation Research","published"
"doi:10.1109/ithet61869.2024.10837662","10.1109/ITHET61869.2024.10837662","Analyzing Communication Logs in Pair Programming: A Comparison of Human- and LLM-Based Approaches","2024","2024 21st International Conference on Information Technology Based Higher Education and Training Ithet 2024","Not found","Evaluation Research","published"
"doi:10.1109/icst60714.2024.00039","10.1109/ICST60714.2024.00039","Are We Testing or Being Tested? Exploring the Practical Applications of Large Language Models in Software Testing","2024","Proceedings 2024 IEEE Conference on Software Testing Verification and Validation Icst 2024","Not found","Evaluation Research","published"
"doi:10.1145/3691621.3694946","10.1145/3691621.3694946","Engaging with AI: An Exploratory Study on Developers' Sharing and Reactions to ChatGPT in GitHub Pull Requests","2024","Proceedings 2024 39th ACM IEEE International Conference on Automated Software Engineering Workshops Asew 2024","Not found","Evaluation Research","published"
"doi:10.1109/sse62657.2024.00046","10.1109/SSE62657.2024.00046","How LLMs Aid in UML Modeling: An Exploratory Study with Novice Analysts","2024","Proceedings 2024 IEEE International Conference on Software Services Engineering Sse 2024","Not found","Evaluation Research","published"
"doi:10.1109/icsme58944.2024.00063","10.1109/ICSME58944.2024.00063","Nigerian Software Engineer or American Data Scientist? GitHub Profile Recruitment Bias in Large Language Models","2024","Proceedings 2024 IEEE International Conference on Software Maintenance and Evolution Icsme 2024","Not found","Evaluation Research","published"
"doi:10.1109/tkde.2024.3436883","10.1109/TKDE.2024.3436883","SE Factual Knowledge in Frozen Giant Code Model: A Study on FQN and Its Retrieval","2024","IEEE Transactions on Knowledge and Data Engineering","A","Evaluation Research","published"
"doi:10.1109/cseet62301.2024.10663028","10.1109/CSEET62301.2024.10663028","Cultivating Software Quality Improvement in the Classroom: An Experience with ChatGPT","2024","Software Engineering Education Conference Proceedings","Not found","Evaluation Research","published"
"doi:10.1109/educon60312.2024.10578564","10.1109/EDUCON60312.2024.10578564","Software Development and Education: Transitioning Towards AI Enhanced Teaching","2024","IEEE Global Engineering Education Conference Educon","Not found","Evaluation Research","published"
"doi:10.3934/steme.2024011","10.3934/steme.2024011","Potentiality of generative AI tools in higher education: Evaluating ChatGPT's viability as a teaching assistant for introductory programming courses","2024","Stem Education","Not found","Evaluation Research","published"
"doi:10.1109/apsec65559.2024.00017","10.1109/APSEC65559.2024.00017","A Study of Using Multimodal LLMs for Non-Crash Functional Bug Detection in Android Apps","2024","Proceedings Asia Pacific Software Engineering Conference APSEC","B","Evaluation Research","published"
"doi:10.1109/naecon61878.2024.10670347","10.1109/NAECON61878.2024.10670347","Exploring AI Integration in Software Development: Case Studies and Insights","2024","Proceedings of the IEEE National Aerospace Electronics Conference Naecon","Not found","Evaluation Research","published"
"doi:10.1109/tbdata.2024.3524104","10.1109/TBDATA.2024.3524104","Aligning Crowd-Sourced Human Feedback for Reinforcement Learning on Code Generation by Large Language Models","2024","IEEE Transactions on Big Data","Not found","Evaluation Research","published"
"doi:10.1109/vl/hcc60511.2024.00011","10.1109/VL/HCC60511.2024.00011","Let's Fix this Together: Conversational Debugging with GitHub Copilot","2024","Proceedings of IEEE Symposium on Visual Languages and Human Centric Computing Vl Hcc","Not found","Evaluation Research","published"
"doi:10.18293/seke2024-123","10.18293/SEKE2024-123","Using Context and Hierarchy Features to Enhance Code Completion in Code Modification Scenarios","2024","Proceedings of the International Conference on Software Engineering and Knowledge Engineering Seke","Not found","Evaluation Research","published"
"doi:10.1109/icsme58944.2024.00082","10.1109/ICSME58944.2024.00082","Take Loads Off Your Developers: Automated User Story Generation using Large Language Model","2024","Proceedings 2024 IEEE International Conference on Software Maintenance and Evolution Icsme 2024","Not found","Evaluation Research","published"
"doi:10.1109/sera61261.2024.10685583","10.1109/SERA61261.2024.10685583","Identifying Security Bugs in Issue Reports: Comparison of BERT, N-gram IDF and ChatGPT","2024","2024 IEEE Acis 22nd International Conference on Software Engineering Research Management and Applications SERA 2024 Proceedings","Not found","Evaluation Research","published"
"doi:10.1109/gem61861.2024.10585495","10.1109/GEM61861.2024.10585495","Leveraging Large Language Models for Enhanced VR Development: Insights and Challenges","2024","2024 IEEE Gaming Entertainment and Media Conference Gem 2024","Not found","Evaluation Research","published"
"doi:10.1109/fie61694.2024.10892934","10.1109/FIE61694.2024.10892934","Using ChatGPT in Undergraduate Computer Science and Software Engineering Courses: A Students' Perspective","2024","Proceedings Frontiers in Education Conference Fie","Not found","Evaluation Research","published"
"doi:10.1109/isec61299.2024.10665163","10.1109/ISEC61299.2024.10665163","STEM Approach to Enhance Robot-Human Interaction Through AI Large Language Models and Reinforcement Learning","2024","2024 IEEE Integrated Stem Education Conference Isec 2024","Not found","Evaluation Research","published"
"doi:10.5815/ijitcs.2023.06.03","10.5815/ijitcs.2023.06.03","Early Formalization of AI-tools Usage in Software Engineering in Europe: Study of 2023","2023","International Journal of Information Technology and Computer Science","Not found","Evaluation Research","published"
"doi:10.1142/s0218194023410048","10.1142/S0218194023410048","Demystifying Practices, Challenges and Expected Features of Using GitHub Copilot","2023","International Journal of Software Engineering and Knowledge Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3611643.3616322","10.1145/3611643.3616322","TransMap: Pinpointing Mistakes in Neural Code Translation","2023","Esec Fse 2023 Proceedings of the 31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering","Not found","Evaluation Research","published"
"doi:10.1109/icse-seip58684.2023.00022","10.1109/ICSE-SEIP58684.2023.00022","Towards More Effective AI-Assisted Programming: A Systematic Design Exploration to Improve Visual Studio IntelliCode's User Experience","2023","Proceedings International Conference on Software Engineering","Not found","Evaluation Research","published"
"doi:10.1016/j.jss.2023.111734","10.1016/j.jss.2023.111734","GitHub Copilot AI pair programmer: Asset or Liability?","2023","Journal of Systems and Software","A","Evaluation Research","published"
"doi:10.1145/3600211.3604712","10.1145/3600211.3604712","Supporting Human-AI Collaboration in Auditing LLMs with LLMs","2023","Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society","A*","Evaluation Research","published"
"doi:10.1145/3568813.3600138","10.1145/3568813.3600138","From ""Ban It Till We Understand It"" to ""Resistance is Futile"": How University Programming Instructors Plan to Adapt as More Students Use AI Code Generation and Explanation Tools such as ChatGPT and GitHub Copilot","2023","Icer 2023 Proceedings of the 2023 ACM Conference on International Computing Education Research V 1","Not found","Evaluation Research","published"
"doi:10.4230/oasics.icpec.2023.2","10.4230/OASIcs.ICPEC.2023.2","I’m Sorry Dave, I’m Afraid I Can’t Fix Your Code: On ChatGPT, CyberSecurity, and Secure Coding","2023","Openaccess Series in Informatics","Not found","Evaluation Research","published"
"doi:10.1109/icse48619.2023.00181","10.1109/ICSE48619.2023.00181","On the Robustness of Code Generation Techniques: An Empirical Study on GitHub Copilot","2023","Proceedings International Conference on Software Engineering","Not found","Evaluation Research","published"
"doi:10.1109/icse48619.2023.00119","10.1109/ICSE48619.2023.00119","Fill in the Blank: Context-aware Automated Text Input Generation for Mobile GUI Testing","2023","Proceedings International Conference on Software Engineering","Not found","Evaluation Research","published"
